,episode_id,evaluation/normalised_improvement,evaluation/normalised_coverage,evaluation/wrinkle_pixel_ratio,evaluation/canonical_IoU,evaluation/canonical_hausdorff_distance,evaluation/success,evaluation/steps2sucess
0,1,"[6.849258734436482e-05, 0.29207600872265843, 0.264410201675786, 0.22859167042358688, 0.4235116139416022, 0.4517568778849358, 0.4286212252117461, 0.4226566688563558, 0.4097592329976367, 0.20167641846677897, 0.3832243731338925, 0.44651441591185037, 0.5090475652997447, 0.5693666786948417, 0.7099417796965704, 0.7777835549983216, 1.0, 0.8671715357999842, 0.7506744421133162, 0.6598381050461828, 0.8306091576074485, 0.6669784885999416, 0.6848868701900866, 0.5559887820893411, 0.6536147524069441, 0.51402504421587, 0.8483024422880312, 1.0]","[0.3367690150768391, 0.5304507133688665, 0.5121006360682029, 0.4883430490887046, 0.6176288503283586, 0.63636326772163, 0.6210179349708065, 0.6170617854176724, 0.6085072204058196, 0.4704907972770193, 0.5909072736977034, 0.6328860663412791, 0.6743628294509795, 0.7143710747059341, 0.8076112236580295, 0.852609073129481, 0.9924814321501394, 0.9118980125297207, 0.8346282379364407, 0.7743786379856065, 0.8876470494187431, 0.7791146859868765, 0.7909928931164275, 0.7054978314126764, 0.7702508349612509, 0.6776642738194223, 0.8993825878413623, 1]","[0.12788632326820604, 0.06038739080896316, 0.07313195548489666, 0.12020244622522143, 0.06520314547837483, 0.03479424556707929, 0.05075978014872292, 0.04107373868046572, 0.04386807556836375, 0.21395076201641267, 0.11643127798828798, 0.0880483153210426, 0.08454281567489115, 0.12608817747823645, 0.1304679552390641, 0.11418685121107267, 0.03414362590462052, 0.04884583676834295, 0.042301569251762566, 0.10460805084745763, 0.04555409548839247, 0.09278350515463918, 0.07457368287095953, 0.11639908256880734, 0.13331640426612493, 0.1449419568822554, 0.10146192450360027, 0.07338755437866465]","[0.26815937940761636, 0.29487587523870146, 0.27747690347244347, 0.19680851063829788, 0.3404355318815604, 0.2976317799847212, 0.4100377234705593, 0.19905147161389314, 0.17518049312082823, 0.055327868852459015, 0.2913978494623656, 0.3904516958688314, 0.2356020942408377, 0.28563324351155867, 0.30008266740148803, 0.49695678636640295, 0.4073643410852713, 0.3971937398812736, 0.3607751511819681, 0.42026323844505664, 0.4050509278638203, 0.181021897810219, 0.3363082589601927, 0.2765474162407723, 0.5960108181203516, 0.16762609649122806, 0.4326090044027837, 0.4253070928543125]","[6.557438524302, 6.557438524302, 6.6332495807108, 6.6332495807108, 7.3484692283495345, 5.656854249492381, 7.0, 7.681145747868608, 7.681145747868608, 7.681145747868608, 6.928203230275509, 6.708203932499369, 5.656854249492381, 7.810249675906654, 7.874007874011811, 7.0710678118654755, 7.54983443527075, 7.615773105863909, 7.615773105863909, 5.5677643628300215, 7.416198487095663, 7.615773105863909, 6.6332495807108, 7.874007874011811, 6.855654600401044, 8.0, 7.483314773547883, 7.615773105863909]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 27]"
0,2,"[0.0, 0.31078211633964065, 0.6614706784211427, 0.6542927190565102, 0.7353191178451545, 0.7489624749434867, 0.8528264363730739, 0.9076550218929843, 0.909962239879362, 1.0]","[0.4159820498259479, 0.5976618444177826, 0.8023799641832037, 0.7981897552520705, 0.8454897638777279, 0.8534542164275366, 0.9140858913502896, 0.9460926521936188, 0.9474395148493516, 1]","[0.22288438617401668, 0.1292808219178082, 0.18039950062421972, 0.11470588235294117, 0.10622914349276974, 0.10848017621145374, 0.10373019928461931, 0.08147773279352227, 0.09118387909319899, 0.03700516351118761]","[0.31067556296914095, 0.3181473044798785, 0.125, 0.19344262295081968, 0.1945253348864298, 0.19281991893456862, 0.18922690482835614, 0.20869810787913018, 0.20816901408450705, 0.21056761705466912]","[5.656854249492381, 5.656854249492381, 5.656854249492381, 6.082762530298219, 6.082762530298219, 6.082762530298219, 6.082762530298219, 6.0, 6.0, 6.082762530298219]","[False, False, False, False, False, False, False, False, False, True]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, 9]"
